		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  252  254  253  244  245  228  267  217  7.448597 0.489093 SUCCESS  76
100101000  240  240  233  253  234  245  233  223  3.854841 0.869977 SUCCESS  77
100110000  243  247  238  237  250  195  255  266 13.313208 0.101518 SUCCESS  78
100111000  219  244  238  241  222  256  241  247  5.622592 0.689423 SUCCESS  79
101000000  231  220  234  244  235  233  232  244  5.130079 0.743587 SUCCESS  80
101000100  241  248  238  241  243  251  249  237  0.826680 0.999124 SUCCESS  81
101001000  251  253  246  230  271  241  242  220  6.980445 0.538744 SUCCESS  82
101001100  217  263  247  257  257  214  268  272 15.617957 0.048186 SUCCESS  83
101010000  239  244  231  256  250  235  227  240  3.252174 0.917550 SUCCESS  84
101010100  259  240  263  279  276  227  239  240 13.402178 0.098741 SUCCESS  85
101011000  217  277  266  277  250  247  262  253 16.170843 0.039999 SUCCESS  86
101011100  262  272  217  231  240  246  233  232  9.726866 0.284722 SUCCESS  87
101100000  239  256  267  281  265  250  230  247 11.559226 0.171980 SUCCESS  88
101100100  254  256  226  261  256  278  213  275 17.210945 0.027986 SUCCESS  89
101101000  232  248  226  225  274  268  238  281 15.743998 0.046194 SUCCESS  90
101101100  234  223  236  256  259  254  267  237  6.984681 0.538286 SUCCESS  91
101110000  271  231  236  222  234  271  250  228 10.885596 0.208266 SUCCESS  92
101110100  254  249  233  238  235  213  240  231  6.456157 0.596275 SUCCESS  93
101111000  258  247  227  243  216  250  260  241  6.705061 0.568763 SUCCESS  94
101111100  248  247  254  239  254  250  238  241  1.382743 0.994488 SUCCESS  95
110000000  258  260  252  273  260  247  250  230  7.772702 0.455983 SUCCESS  96
110000010  232  257  264  241  231  237  240  243  4.062438 0.851447 SUCCESS  97
110000100  257  207  254  254  236  234  241  240  8.195310 0.414628 SUCCESS  98
110001000  242  213  240  231  228  271  254  265 11.346334 0.182837 SUCCESS  99
110001010  244  267  252  249  231  220  238  265  7.781175 0.455132 SUCCESS 100
110010000  254  254  240  259  240  223  251  255  4.499874 0.809446 SUCCESS 101
110010010  237  261  223  239  254  242  239  259  4.904476 0.767735 SUCCESS 102
110010100  221  241  246  253  263  248  233  236  5.032635 0.754082 SUCCESS 103
110011000  227  254  238  256  246  208  255  238  8.615799 0.375735 SUCCESS 104
110011010  226  253  275  262  228  259  250  251  9.503382 0.301624 SUCCESS 105
110100000  237  222  246  233  242  241  226  246  4.295455 0.829531 SUCCESS 106
110100010  253  235  241  228  235  273  233  264  7.912512 0.442063 SUCCESS 107
110100100  228  247  271  246  261  237  275  223 11.562404 0.171822 SUCCESS 108
110101000  226  235  235  234  255  265  240  220  7.416822 0.492399 SUCCESS 109
110101010  243  226  266  257  249  213  243  234  8.771497 0.361938 SUCCESS 110
110101100  222  262  271  219  221  265  244  251 13.474202 0.096542 SUCCESS 111
110110000  255  252  263  283  242  241  250  247  8.917662 0.349289 SUCCESS 112
110110010  240  234  229  271  255  275  234  251  9.709920 0.285979 SUCCESS 113
110110100  242  249  233  231  252  237  245  283  8.257801 0.408701 SUCCESS 114
110111000  272  212  240  243  247  257  228  250  9.726866 0.284722 SUCCESS 115
110111010  246  233  229  213  251  229  262  219 10.810395 0.212676 SUCCESS 116
110111100  240  258  217  256  234  252  262  244  6.653162 0.574473 SUCCESS 117
111000000  247  256  245  269  243  269  260  220  9.417589 0.308302 SUCCESS 118
111000010  253  201  232  256  254  260  220  246 13.394764 0.098970 SUCCESS 119
111000100  263  216  212  248  231  249  243  249 10.233149 0.249042 SUCCESS 120
111000110  224  268  240  255  232  233  252  254  6.527121 0.588401 SUCCESS 121
111001000  288  239  238  227  256  231  236  240 11.347393 0.182782 SUCCESS 122
111001010  251  268  237  258  243  249  252  249  4.115396 0.846565 SUCCESS 123
111001100  239  243  239  237  265  222  270  221  9.465252 0.304579 SUCCESS 124
111010000  240  239  251  221  241  248  231  213  7.588407 0.474671 SUCCESS 125
111010010  237  244  253  230  242  246  251  256  2.225841 0.973293 SUCCESS 126
111010100  230  244  238  220  263  241  236  241  5.341912 0.720485 SUCCESS 127
111010110  235  259  274  227  245  246  251  247  6.567369 0.583945 SUCCESS 128
111011000  259  262  258  247  235  257  253  230  5.375806 0.716757 SUCCESS 129
111011010  258  238  236  231  246  231  225  264  5.951993 0.652610 SUCCESS 130
111011100  260  214  227  218  238  264  239  261 12.196845 0.142635 SUCCESS 131
111100000  227  271  241  249  252  258  262  235  7.229349 0.512102 SUCCESS 132
111100010  271  226  223  232  203  260  270  275 22.073584 0.004781 FAILURE 133
111100100  260  259  240  267  250  241  245  243  4.490341 0.810399 SUCCESS 134
111100110  257  262  265  273  270  236  249  231 11.381286 0.181017 SUCCESS 135
111101000  243  239  245  229  234  246  229  240  2.579603 0.957915 SUCCESS 136
111101010  232  266  228  250  280  239  220  253 12.261455 0.139914 SUCCESS 137
111101100  262  230  271  259  220  264  257  236 11.317736 0.184338 SUCCESS 138
111101110  260  224  239  211  239  253  233  215 12.106816 0.146501 SUCCESS 139
111110000  222  244  249  242  249  242  278  236  7.454952 0.488434 SUCCESS 140
111110010  243  251  245  270  225  256  258  224  7.723980 0.460886 SUCCESS 141
111110100  237  264  256  235  224  268  258  244  7.785412 0.454708 SUCCESS 142
111110110  250  228  256  250  240  252  236  252  2.868756 0.942322 SUCCESS 143
111111000  228  214  266  227  236  233  278  247 13.916934 0.083956 SUCCESS 144
111111010  229  265  250  245  218  259  247  253  7.162621 0.519193 SUCCESS 145
111111100  254  236  278  250  257  236  272  241 10.016019 0.263903 SUCCESS 146
111111110  256  236  266  260  262  259  245  253  6.600203 0.580316 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  226  240  226  240  247  250  222  250  5.329202 0.721880 SUCCESS   0
000000011  236  235  225  244  249  247  224  246  4.048668 0.852706 SUCCESS   1
000000101  244  277  249  251  245  239  258  242  5.829129 0.666365 SUCCESS   2
000000111  252  242  240  242  245  249  253  256  1.408163 0.994130 SUCCESS   3
000001001  233  267  236  230  223  232  240  234  6.886179 0.548962 SUCCESS   4
000001011  230  264  239  233  224  235  263  249  6.833220 0.554729 SUCCESS   5
000001101  215  243  256  259  247  250  234  256  6.347062 0.608417 SUCCESS   6
000001111  242  251  250  263  260  235  237  247  3.545564 0.895625 SUCCESS   7
000010001  273  199  239  244  259  244  238  260 14.434867 0.071112 SUCCESS   8
000010011  236  273  211  226  239  236  249  227 11.586765 0.170615 SUCCESS   9
000010101  260  233  240  283  255  215  229  234 13.565290 0.093824 SUCCESS  10
000010111  234  251  234  247  235  276  253  241  6.136288 0.631969 SUCCESS  11
000011001  261  250  235  239  226  236  241  247  3.564629 0.894116 SUCCESS  12
000011011  222  233  239  281  251  232  260  257 11.063536 0.198125 SUCCESS  13
000011101  250  256  228  235  240  280  228  239  8.935668 0.347752 SUCCESS  14
000011111  277  252  277  246  261  219  235  243 13.674384 0.090657 SUCCESS  15
000100011  239  230  250  245  273  251  232  242  5.480663 0.705181 SUCCESS  16
000100101  253  273  272  243  252  224  247  249  9.277779 0.319408 SUCCESS  17
000100111  238  256  255  220  249  251  235  234  4.811269 0.777544 SUCCESS  18
000101001  254  220  231  256  253  262  245  230  6.742132 0.564693 SUCCESS  19
000101011  260  241  233  252  263  219  238  226  7.630774 0.470342 SUCCESS  20
000101101  243  280  256  260  240  257  259  230  9.680263 0.288188 SUCCESS  21
000101111  239  249  229  208  232  261  241  262  9.934463 0.269656 SUCCESS  22
000110011  254  229  242  243  251  238  236  249  2.146403 0.976191 SUCCESS  23
000110101  221  261  253  250  243  238  257  237  5.033694 0.753969 SUCCESS  24
000110111  235  241  223  271  238  245  249  262  6.961380 0.540805 SUCCESS  25
000111001  227  207  249  225  230  246  256  247 10.224675 0.249610 SUCCESS  26
000111011  262  259  230  218  247  268  243  255  8.984390 0.343615 SUCCESS  27
000111101  240  227  240  236  227  237  255  231  4.354768 0.823781 SUCCESS  28
000111111  245  229  285  229  244  230  256  235 10.815691 0.212363 SUCCESS  29
001000011  255  243  260  244  251  208  245  223  9.197283 0.325928 SUCCESS  30
001000101  275  228  268  247  238  247  243  232  8.412439 0.394253 SUCCESS  31
001000111  250  225  254  251  233  260  273  229  8.402907 0.395134 SUCCESS  32
001001011  236  279  270  258  243  215  231  244 13.413829 0.098382 SUCCESS  33
001001101  242  239  229  238  223  231  257  241  4.622737 0.797032 SUCCESS  34
001001111  256  243  241  219  250  251  260  236  5.012511 0.756238 SUCCESS  35
001010011  234  243  249  240  276  274  238  255  9.358276 0.312979 SUCCESS  36
001010101  250  225  247  254  256  226  274  250  8.060796 0.427554 SUCCESS  37
001010111  256  260  224  234  250  205  239  238 10.717188 0.218244 SUCCESS  38
001011011  237  254  255  245  233  237  267  236  4.368537 0.822437 SUCCESS  39
001011101  255  246  257  240  258  233  234  268  5.479604 0.705299 SUCCESS  40
001011111  251  246  223  228  227  278  235  250  9.810541 0.278576 SUCCESS  41
001100101  231  263  246  247  251  246  239  228  3.717149 0.881699 SUCCESS  42
001100111  262  224  223  237  246  248  263  268  9.178218 0.327486 SUCCESS  43
001101011  248  263  239  269  243  241  232  243  4.980736 0.759633 SUCCESS  44
001101101  248  250  261  267  266  259  255  247  7.134024 0.522244 SUCCESS  45
001101111  249  228  225  225  265  236  253  242  6.780262 0.560516 SUCCESS  46
001110101  250  258  241  233  247  245  234  256  2.597609 0.957024 SUCCESS  47
001110111  270  224  243  217  262  277  231  286 21.766425 0.005367 FAILURE  48
001111011  243  244  231  215  256  264  246  224  8.330883 0.401834 SUCCESS  49
001111101  229  238  231  235  242  254  248  248  2.770253 0.947938 SUCCESS  50
001111111  248  214  260  255  234  230  243  257  7.464484 0.487444 SUCCESS  51
010000011  234  245  239  229  240  267  223  254  6.110868 0.634814 SUCCESS  52
010000111  238  231  256  213  253  232  230  234  7.826720 0.450577 SUCCESS  53
010001011  234  231  268  238  238  257  241  224  6.356595 0.607354 SUCCESS  54
010001111  220  232  263  251  220  255  250  234  8.345712 0.400449 SUCCESS  55
010010011  267  261  239  215  243  258  251  234  8.584024 0.378592 SUCCESS  56
010010111  264  280  266  253  222  228  225  258 15.028001 0.058603 SUCCESS  57
010011011  238  268  238  227  241  242  279  256  9.786180 0.280355 SUCCESS  58
010011111  256  212  229  239  250  259  259  264  9.744872 0.283391 SUCCESS  59
010100011  254  223  258  254  229  255  225  224  8.268392 0.407702 SUCCESS  60
010100111  239  228  250  233  266  251  266  259  7.075770 0.528480 SUCCESS  61
010101011  214  251  260  266  276  240  258  254 12.745494 0.120912 SUCCESS  62
010101111  235  231  221  243  265  232  239  247  5.968939 0.650711 SUCCESS  63
010110011  252  254  256  249  262  228  224  241  5.586580 0.693430 SUCCESS  64
010110111  239  246  242  273  217  232  256  227  9.257655 0.321029 SUCCESS  65
010111011  252  245  232  243  249  244  257  242  1.716381 0.988507 SUCCESS  66
010111111  219  263  227  235  238  243  243  263  7.458129 0.488104 SUCCESS  67
011000111  219  206  232  203  242  228  240  238 17.972487 0.021434 SUCCESS  68
011001111  259  246  259  233  266  233  255  253  5.800532 0.669564 SUCCESS  69
011010111  233  266  242  272  254  242  237  232  7.132965 0.522357 SUCCESS  70
011011111  242  268  222  261  253  238  239  242  6.337530 0.609480 SUCCESS  71
011101111  248  246  249  241  252  248  232  258  1.985410 0.981456 SUCCESS  72
011111111  235  246  240  265  221  238  249  265  6.657398 0.574007 SUCCESS  73
100000000  226  240  226  240  247  250  222  250  5.329202 0.721880 SUCCESS  74
100010000  293  229  246  259  256  211  254  236 17.980960 0.021370 SUCCESS  75
100100000  243  251  226  239  225  264  249  214  8.877414 0.352743 SUCCESS  76
100101000  260  230  241  231  239  256  253  236  4.006302 0.856554 SUCCESS  77
100110000  252  248  245  226  244  242  243  230  2.591254 0.957340 SUCCESS  78
100111000  258  225  220  216  214  247  248  252 12.388555 0.134691 SUCCESS  79
101000000  231  253  211  260  247  239  246  251  7.141438 0.521452 SUCCESS  80
101000100  257  266  271  227  279  233  259  246 13.661674 0.091021 SUCCESS  81
101001000  253  225  246  274  252  255  246  226  7.850021 0.448256 SUCCESS  82
101001100  244  267  257  229  243  225  251  251  5.843958 0.664706 SUCCESS  83
101010000  233  225  250  234  242  236  270  250  5.936105 0.654389 SUCCESS  84
101010100  254  225  239  262  256  233  255  226  6.442387 0.597805 SUCCESS  85
101011000  234  266  264  245  271  259  253  253  8.803272 0.359163 SUCCESS  86
101011100  256  261  243  257  221  205  238  233 11.945823 0.153638 SUCCESS  87
101100000  238  297  249  243  249  234  216  269 18.617520 0.017045 SUCCESS  88
101100100  239  272  251  232  235  250  248  213  8.893301 0.351377 SUCCESS  89
101101000  221  287  229  248  224  245  249  227 14.148891 0.077966 SUCCESS  90
101101100  247  258  248  279  256  232  236  262  8.920840 0.349018 SUCCESS  91
101110000  244  261  243  240  227  227  229  253  5.071824 0.749873 SUCCESS  92
101110100  252  241  238  250  266  241  244  285  9.756523 0.282532 SUCCESS  93
101111000  275  223  258  226  255  239  265  269 13.216824 0.104604 SUCCESS  94
101111100  245  261  242  234  263  244  240  245  3.247938 0.917848 SUCCESS  95
110000000  227  256  226  226  253  257  237  255  6.375660 0.605230 SUCCESS  96
110000010  257  248  226  238  225  241  213  264  9.685559 0.287793 SUCCESS  97
