		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000111  217  246  251  255  234  272  274  241 11.382345 0.180962 SUCCESS  32
001001011  251  250  254  232  263  267  250  239  5.366273 0.717806 SUCCESS  33
001001101  239  228  213  242  243  258  227  243  7.405171 0.493614 SUCCESS  34
001001111  226  236  233  251  212  233  270  245 10.132528 0.255847 SUCCESS  35
001010011  255  262  248  223  260  232  224  251  7.415762 0.492509 SUCCESS  36
001010101  244  246  229  251  247  232  256  251  2.639975 0.954884 SUCCESS  37
001010111  247  236  231  242  256  248  246  255  2.240669 0.972730 SUCCESS  38
001011011  237  212  276  227  239  259  205  265 19.514635 0.012337 SUCCESS  39
001011101  249  241  255  260  273  213  246  211 14.011200 0.081474 SUCCESS  40
001011111  255  238  250  244  257  247  247  273  5.111014 0.745648 SUCCESS  41
001100101  255  247  251  254  243  222  213  203 14.498417 0.069664 SUCCESS  42
001100111  258  263  240  282  223  245  242  234 10.822046 0.211988 SUCCESS  43
001101011  236  254  240  243  246  278  257  225  7.898743 0.443423 SUCCESS  44
001101101  271  229  250  276  247  220  237  263 12.705246 0.122402 SUCCESS  45
001101111  209  230  250  217  280  232  226  246 16.817994 0.032061 SUCCESS  46
001110101  249  260  248  236  243  244  260  250  2.731064 0.950085 SUCCESS  47
001110111  235  256  255  247  250  216  231  237  5.928691 0.655219 SUCCESS  48
001111011  237  271  241  207  232  229  233  234 11.706451 0.164790 SUCCESS  49
001111101  263  257  242  269  264  238  253  287 14.806635 0.063016 SUCCESS  50
001111111  217  255  226  266  248  214  277  218 18.416278 0.018313 SUCCESS  51
010000011  241  230  247  222  240  250  228  230  5.160795 0.740260 SUCCESS  52
010000111  246  248  210  229  229  234  218  254 10.689650 0.219912 SUCCESS  53
010001011  224  249  234  238  270  240  266  232  7.968648 0.436539 SUCCESS  54
010001111  217  268  262  270  224  265  265  240 15.202763 0.055321 SUCCESS  55
010010011  241  255  228  237  240  246  273  223  7.369159 0.497376 SUCCESS  56
010010111  263  227  257  250  250  248  241  250  3.997828 0.857319 SUCCESS  57
010011011  258  196  225  231  257  244  245  256 14.210323 0.076445 SUCCESS  58
010011111  237  252  230  260  221  224  295  250 17.484210 0.025444 SUCCESS  59
010100011  211  243  245  280  236  247  254  222 12.911784 0.114921 SUCCESS  60
010100111  257  304  243  230  247  221  244  244 19.042246 0.014635 SUCCESS  61
010101011  233  246  228  269  234  227  228  239  7.152030 0.520322 SUCCESS  62
010101111  236  226  221  220  246  217  224  261 12.457401 0.131933 SUCCESS  63
010110011  234  249  246  267  243  245  240  256  3.444943 0.903420 SUCCESS  64
010110111  241  222  268  229  237  253  240  273  9.652725 0.290251 SUCCESS  65
010111011  242  248  268  283  261  241  218  221 15.305503 0.053470 SUCCESS  66
010111111  252  231  244  225  256  235  238  274  7.432709 0.490745 SUCCESS  67
011000111  253  223  228  249  226  233  245  217  8.463279 0.389571 SUCCESS  68
011001111  254  238  263  276  250  243  250  240  6.755901 0.563184 SUCCESS  69
011010111  230  231  209  238  243  260  234  237  8.683586 0.369687 SUCCESS  70
011011111  224  223  260  245  298  238  237  234 17.782896 0.022914 SUCCESS  71
011101111  243  247  265  272  266  215  234  243 11.239358 0.188502 SUCCESS  72
011111111  228  247  250  255  271  233  265  249  7.315142 0.503044 SUCCESS  73
100000000  247  251  261  247  217  254  232  240  5.702029 0.680569 SUCCESS  74
100010000  227  248  235  247  244  255  234  254  3.042459 0.931665 SUCCESS  75
100100000  243  235  259  240  246  254  243  245  1.804292 0.986435 SUCCESS  76
100101000  220  228  258  218  273  238  230  213 15.915583 0.043604 SUCCESS  77
100110000  253  229  234  261  243  244  233  231  4.203307 0.838330 SUCCESS  78
100111000  252  246  229  231  230  266  248  244  4.912949 0.766838 SUCCESS  79
101000000  232  227  233  241  253  232  258  216  7.554513 0.478149 SUCCESS  80
101000100  244  262  264  248  263  243  247  238  4.799618 0.778763 SUCCESS  81
101001000  231  240  260  223  223  259  253  247  6.957143 0.541264 SUCCESS  82
101001100  284  233  249  235  257  224  234  237 10.781797 0.214372 SUCCESS  83
101010000  242  271  240  226  240  239  264  235  6.752724 0.563532 SUCCESS  84
101010100  238  252  264  236  256  245  263  253  4.818683 0.776768 SUCCESS  85
101011000  242  266  236  278  241  246  218  215 13.729461 0.089095 SUCCESS  86
101011100  244  250  223  211  260  240  256  259  9.360394 0.312811 SUCCESS  87
101100000  254  239  238  243  256  246  249  253  1.735446 0.988076 SUCCESS  88
101100100  230  246  230  267  275  294  232  251 19.322926 0.013225 SUCCESS  89
101101000  223  245  230  278  222  233  283  243 16.607220 0.034469 SUCCESS  90
101101100  275  213  249  236  244  240  219  249 11.370695 0.181567 SUCCESS  91
101110000  241  252  216  244  235  234  256  245  5.043227 0.752946 SUCCESS  92
101110100  231  245  242  230  252  240  240  235  2.357178 0.968059 SUCCESS  93
101111000  233  244  256  225  245  254  242  246  3.121897 0.926476 SUCCESS  94
101111100  247  255  247  253  269  234  216  241  7.353272 0.499041 SUCCESS  95
110000000  245  225  248  233  231  245  244  231  3.603818 0.890985 SUCCESS  96
110000010  253  234  227  246  234  243  227  226  5.099363 0.746905 SUCCESS  97
110000100  258  247  223  259  274  260  241  250  8.715361 0.366874 SUCCESS  98
110001000  233  244  237  238  237  239  229  263  3.703380 0.882845 SUCCESS  99
110001010  207  248  240  261  244  253  260  232  9.205756 0.325237 SUCCESS 100
110010000  280  260  237  243  242  238  238  248  7.141438 0.521452 SUCCESS 101
110010010  228  264  226  251  257  249  252  274  9.214229 0.324548 SUCCESS 102
110010100  236  259  263  217  260  243  232  220 10.005427 0.264645 SUCCESS 103
110011000  249  227  233  276  233  237  224  221 10.893010 0.207835 SUCCESS 104
110011010  248  225  239  243  249  260  255  224  5.115250 0.745190 SUCCESS 105
110100000  240  246  235  248  223  227  251  212  8.209079 0.413318 SUCCESS 106
110100010  231  251  248  248  251  256  256  239  2.563715 0.958694 SUCCESS 107
110100100  230  238  253  235  220  241  254  243  4.616382 0.797680 SUCCESS 108
110101000  244  262  238  241  246  262  261  229  5.098304 0.747020 SUCCESS 109
110101010  227  252  263  254  243  240  235  241  3.899326 0.866090 SUCCESS 110
110101100  250  245  241  268  223  261  226  217 10.211965 0.250463 SUCCESS 111
110110000  249  240  241  235  261  246  250  255  2.435556 0.964668 SUCCESS 112
110110010  221  235  246  240  266  275  210  244 13.705100 0.089783 SUCCESS 113
110110100  247  262  233  260  229  227  268  254  8.020547 0.431466 SUCCESS 114
110111000  242  247  236  234  218  244  241  244  3.701261 0.883021 SUCCESS 115
110111010  226  229  249  242  244  248  219  255  5.720035 0.678559 SUCCESS 116
110111100  252  259  268  234  261  247  249  237  5.606704 0.691192 SUCCESS 117
111000000  236  240  231  253  251  256  237  228  3.529676 0.896874 SUCCESS 118
111000010  256  249  236  247  251  251  238  257  2.274563 0.971416 SUCCESS 119
111000100  227  245  226  221  242  244  236  244  5.202102 0.735773 SUCCESS 120
111000110  233  251  216  223  237  240  238  220  8.878473 0.352651 SUCCESS 121
111001000  256  251  247  262  234  224  255  260  5.905389 0.657829 SUCCESS 122
111001010  244  243  222  229  234  257  248  238  4.407726 0.818592 SUCCESS 123
111001100  251  218  270  263  241  259  237  249  8.732308 0.365379 SUCCESS 124
111010000  242  266  240  243  225  255  225  240  5.796295 0.670038 SUCCESS 125
111010010  229  229  232  243  248  238  252  241  3.093299 0.928367 SUCCESS 126
111010100  260  265  234  250  246  265  251  241  5.597172 0.692252 SUCCESS 127
111010110  248  227  238  250  224  226  232  228  6.443447 0.597687 SUCCESS 128
111011000  209  256  243  258  267  236  254  255 10.056268 0.261099 SUCCESS 129
111011010  236  264  226  240  239  240  268  243  6.020839 0.644898 SUCCESS 130
111011100  229  252  235  244  246  224  254  247  3.763752 0.877785 SUCCESS 131
111100000  253  248  251  244  240  236  261  226  3.547682 0.895458 SUCCESS 132
111100010  240  249  260  232  240  247  253  234  2.738478 0.949683 SUCCESS 133
111100100  262  240  263  245  223  247  247  271  7.959116 0.437474 SUCCESS 134
111100110  246  222  240  255  250  263  234  266  6.779203 0.560632 SUCCESS 135
111101000  244  250  264  262  255  245  220  247  6.178655 0.627228 SUCCESS 136
111101010  258  242  244  251  242  224  243  249  2.876170 0.941886 SUCCESS 137
111101100  214  266  249  238  272  242  236  267 11.939468 0.153925 SUCCESS 138
111101110  240  243  235  249  227  228  241  240  2.988442 0.935081 SUCCESS 139
111110000  237  237  242  283  255  259  232  249  9.014047 0.341112 SUCCESS 140
111110010  245  261  246  224  210  234  245  246  8.326647 0.402230 SUCCESS 141
111110100  233  242  238  262  249  241  234  242  2.651626 0.954285 SUCCESS 142
111110110  225  252  246  247  280  229  268  277 15.277964 0.053961 SUCCESS 143
111111000  220  229  236  246  265  251  251  270  8.812805 0.358333 SUCCESS 144
111111010  229  243  233  254  229  241  257  253  3.958639 0.860836 SUCCESS 145
111111100  225  238  249  236  275  233  261  258  8.674054 0.370534 SUCCESS 146
111111110  228  247  250  255  271  233  265  249  7.315142 0.503044 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  263  238  247  252  240  256  273  243  6.173359 0.627820 SUCCESS   0
000000011  237  240  242  250  235  252  268  261  4.689465 0.790192 SUCCESS   1
000000101  244  225  263  258  253  246  240  239  4.406667 0.818697 SUCCESS   2
000000111  257  240  244  242  239  265  249  234  3.286068 0.915144 SUCCESS   3
000001001  247  276  234  234  237  257  280  250 11.724457 0.163928 SUCCESS   4
000001011  233  227  236  257  248  240  229  280  9.306377 0.317113 SUCCESS   5
000001101  219  258  250  247  238  227  236  228  6.454038 0.596510 SUCCESS   6
000001111  251  231  242  236  230  259  231  248  3.805060 0.874269 SUCCESS   7
000010001  259  256  237  245  252  242  241  222  4.150349 0.843310 SUCCESS   8
000010011  246  245  239  251  219  243  260  267  6.294104 0.614325 SUCCESS   9
000010101  228  238  263  262  235  252  225  253  6.622446 0.577860 SUCCESS  10
000010111  232  236  230  264  235  273  229  251  8.475989 0.388406 SUCCESS  11
000011001  215  244  251  247  230  237  282  247 11.002104 0.201580 SUCCESS  12
000011011  222  225  248  241  237  256  219  249  7.316201 0.502933 SUCCESS  13
000011101  251  254  263  265  230  267  273  211 15.212296 0.055147 SUCCESS  14
000011111  242  252  240  239  232  251  243  250  1.439938 0.993661 SUCCESS  15
000100011  262  259  240  238  249  257  249  214  7.270657 0.507732 SUCCESS  16
000100101  219  249  255  240  250  226  239  263  6.506997 0.590632 SUCCESS  17
000100111  232  247  240  247  233  247  249  254  1.838186 0.985577 SUCCESS  18
000101001  265  272  260  252  235  237  261  244  8.242972 0.410103 SUCCESS  19
000101011  248  264  239  274  240  244  245  259  6.642570 0.575641 SUCCESS  20
000101101  244  235  247  227  245  226  248  248  3.152613 0.924418 SUCCESS  21
000101111  240  221  262  258  237  259  245  247  5.697793 0.681041 SUCCESS  22
000110011  247  240  274  261  226  217  249  245  9.707801 0.286136 SUCCESS  23
000110101  225  230  270  234  263  253  239  212 11.992426 0.151542 SUCCESS  24
000110111  238  236  250  234  237  265  239  244  3.191802 0.921750 SUCCESS  25
000111001  229  234  245  243  226  238  248  249  3.127193 0.926124 SUCCESS  26
000111011  244  274  279  263  264  268  258  241 15.389177 0.052006 SUCCESS  27
000111101  258  219  229  239  253  263  224  249  8.230262 0.411307 SUCCESS  28
000111111  249  250  249  249  245  255  236  249  1.332963 0.995147 SUCCESS  29
001000011  241  239  258  261  207  236  261  225 11.049767 0.198895 SUCCESS  30
001000101  222  231  241  253  244  245  236  270  6.298341 0.613852 SUCCESS  31
001000111  257  249  237  218  252  266  255  225  8.250387 0.409402 SUCCESS  32
001001011  254  238  257  227  256  218  221  235  8.624273 0.374976 SUCCESS  33
001001101  248  260  238  237  257  228  246  247  3.359150 0.909842 SUCCESS  34
001001111  234  245  255  256  239  233  251  240  2.444029 0.964290 SUCCESS  35
001010011  281  296  239  271  244  244  265  238 22.338376 0.004326 FAILURE  36
001010101  243  200  251  265  263  243  238  233 12.498708 0.130301 SUCCESS  37
001010111  249  284  237  243  234  286  224  220 19.102619 0.014320 SUCCESS  38
001011011  251  250  230  232  245  220  257  245  4.989209 0.758729 SUCCESS  39
001011101  238  229  231  259  273  251  254  246  6.956084 0.541378 SUCCESS  40
001011111  253  218  263  234  254  245  240  247  5.692497 0.681632 SUCCESS  41
001100101  241  250  241  256  252  247  284  261  9.067005 0.336675 SUCCESS  42
001100111  246  243  245  250  217  218  238  248  6.401080 0.602400 SUCCESS  43
001101011  258  237  244  226  287  239  248  243 10.390964 0.238650 SUCCESS  44
001101101  235  233  214  225  255  252  210  237 12.184135 0.143175 SUCCESS  45
001101111  250  241  250  234  248  240  227  238  2.305278 0.970194 SUCCESS  46
001110101  246  239  230  239  240  232  252  238  2.199362 0.974282 SUCCESS  47
001110111  235  267  303  257  225  270  230  250 23.335053 0.002960 FAILURE  48
001111011  249  226  237  249  237  255  236  242  2.823211 0.944957 SUCCESS  49
001111101  228  237  246  214  235  264  258  259  8.955792 0.346039 SUCCESS  50
001111111  237  257  225  260  223  263  230  250  7.926281 0.440704 SUCCESS  51
010000011  263  261  245  238  236  238  244  244  3.316784 0.912935 SUCCESS  52
010000111  264  245  244  241  223  233  252  241  4.437383 0.815665 SUCCESS  53
010001011  231  242  253  239  244  227  234  249  2.971495 0.936134 SUCCESS  54
010001111  259  245  252  232  242  266  240  233  4.469158 0.812511 SUCCESS  55
010010011  266  223  274  236  260  221  240  248 11.448014 0.177583 SUCCESS  56
010010111  258  260  225  234  251  241  238  245  4.271094 0.831874 SUCCESS  57
010011011  246  259  248  225  257  226  218  235  7.904039 0.442900 SUCCESS  58
010011111  225  273  249  248  240  235  260  263  8.248268 0.409602 SUCCESS  59
010100011  229  238  241  235  230  243  238  251  2.732123 0.950028 SUCCESS  60
010100111  270  255  242  268  258  225  271  246 11.211819 0.189984 SUCCESS  61
010101011  244  212  250  269  263  229  254  238 10.190782 0.251890 SUCCESS  62
010101111  265  264  246  258  249  258  263  241  6.817333 0.556463 SUCCESS  63
010110011  267  242  236  228  248  210  271  212 16.046920 0.041713 SUCCESS  64
010110111  246  229  217  255  248  233  243  244  5.195747 0.736464 SUCCESS  65
010111011  223  217  220  254  257  241  228  243  9.737458 0.283939 SUCCESS  66
010111111  257  248  264  242  253  247  245  249  2.931247 0.938598 SUCCESS  67
011000111  224  228  244  250  230  242  234  269  6.884060 0.549192 SUCCESS  68
011001111  247  210  261  245  227  236  251  252  8.163535 0.417661 SUCCESS  69
011010111  265  231  235  212  259  239  255  264 10.524420 0.230129 SUCCESS  70
011011111  232  226  219  238  231  248  254  251  6.254915 0.618701 SUCCESS  71
011101111  221  263  260  246  233  256  225  246  7.543922 0.479238 SUCCESS  72
011111111  211  271  231  229  254  259  236  256 11.635487 0.168223 SUCCESS  73
100000000  263  238  247  252  240  256  273  243  6.173359 0.627820 SUCCESS  74
100010000  249  223  205  241  246  269  212  217 18.643999 0.016884 SUCCESS  75
100100000  234  253  228  285  218  268  254  255 15.168870 0.055944 SUCCESS  76
100101000  225  244  266  223  228  249  271  248  9.793594 0.279813 SUCCESS  77
100110000  251  236  271  226  234  220  238  246  8.005719 0.432912 SUCCESS  78
100111000  253  268  237  227  261  231  249  248  6.306814 0.612906 SUCCESS  79
101000000  262  244  270  234  247  249  256  232  5.980590 0.649406 SUCCESS  80
101000100  223  248  220  240  234  268  239  216 10.804040 0.213052 SUCCESS  81
101001000  246  228  228  248  245  249  247  261  3.627120 0.889103 SUCCESS  82
101001100  239  244  249  251  231  245  255  236  1.926096 0.983194 SUCCESS  83
101010000  245  236  247  250  249  237  226  234  2.606082 0.956600 SUCCESS  84
101010100  248  235  278  256  243  234  222  229  9.358276 0.312979 SUCCESS  85
101011000  234  244  243  266  244  259  219  243  6.084389 0.637780 SUCCESS  86
101011100  236  248  242  213  244  284  256  253 12.134354 0.145309 SUCCESS  87
101100000  231  228  240  260  235  264  256  257  6.297281 0.613970 SUCCESS  88
101100100  233  250  247  260  242  239  265  258  4.565542 0.802841 SUCCESS  89
101101000  250  218  247  264  244  254  242  257  5.881029 0.660557 SUCCESS  90
101101100  229  252  262  237  249  225  237  260  5.733804 0.677021 SUCCESS  91
101110000  219  250  235  236  250  266  263  248  7.199692 0.515249 SUCCESS  92
101110100  262  240  254  233  240  236  213  247  6.854404 0.552420 SUCCESS  93
101111000  245  239  241  250  254  231  246  210  6.393666 0.603225 SUCCESS  94
101111100  255  243  221  267  246  233  241  260  6.637274 0.576225 SUCCESS  95
110000000  227  230  224  237  266  248  272  238  9.560577 0.297231 SUCCESS  96
110000010  234  255  257  239  238  241  228  239  3.162145 0.923774 SUCCESS  97
110000100  255  232  251  264  231  233  238  274  8.192132 0.414931 SUCCESS  98
110001000  247  225  221  222  248  240  215  249  9.754405 0.282688 SUCCESS  99
110001010  232  267  244  223  266  240  261  240  8.108458 0.422948 SUCCESS 100
110010000  245  255  240  293  217  230  268  234 17.508571 0.025228 SUCCESS 101
110010010  262  247  231  238  244  221  247  226  5.969999 0.650593 SUCCESS 102
110010100  239  243  266  264  233  259  266  256  7.904039 0.442900 SUCCESS 103
110011000  243  234  242  201  224  229  273  257 15.257840 0.054322 SUCCESS 104
110011010  258  242  235  241  249  234  236  254  2.456739 0.963718 SUCCESS 105
110100000  286  254  264  246  234  249  246  254 10.493704 0.232068 SUCCESS 106
110100010  253  244  231  259  233  256  238  213  7.386106 0.495604 SUCCESS 107
110100100  255  227  231  241  262  225  259  235  6.708238 0.568414 SUCCESS 108
110101000  246  244  247  239  249  228  244  230  2.208894 0.973929 SUCCESS 109
110101010  249  247  277  260  243  220  238  234  8.846698 0.355393 SUCCESS 110
110101100  237  227  251  247  272  253  232  236  6.221021 0.622489 SUCCESS 111
110110000  234  220  251  239  234  267  253  265  8.042790 0.429301 SUCCESS 112
110110010  240  250  235  262  230  258  256  241  4.224490 0.836322 SUCCESS 113
110110100  243  239  228  234  253  248  225  233  4.123869 0.845778 SUCCESS 114
110111000  219  239  252  240  241  246  249  236  3.557215 0.894704 SUCCESS 115
110111010  261  248  256  262  225  241  204  254 12.046444 0.149144 SUCCESS 116
110111100  236  240  249  241  254  232  249  230  2.475804 0.962850 SUCCESS 117
111000000  249  270  238  242  253  232  266  245  6.102395 0.635763 SUCCESS 118
111000010  232  249  251  265  244  268  262  268  8.953674 0.346219 SUCCESS 119
111000100  259  226  245  237  246  241  206  241  8.803272 0.359163 SUCCESS 120
111000110  245  229  235  241  230  266  244  237  4.454330 0.813985 SUCCESS 121
111001000  261  247  249  286  249  234  235  226 11.050826 0.198836 SUCCESS 122
111001010  223  218  244  260  229  241  247  247  6.930664 0.544132 SUCCESS 123
111001100  258  231  220  202  246  210  238  259 17.574240 0.024655 SUCCESS 124
111010000  268  268  262  237  240  238  240  269  9.323323 0.315759 SUCCESS 125
111010010  256  230  236  228  232  265  243  239  5.409699 0.713023 SUCCESS 126
111010100  272  232  238  235  254  227  238  242  6.260211 0.618110 SUCCESS 127
111010110  235  228  243  266  248  252  232  234  4.870583 0.771315 SUCCESS 128
111011000  229  234  227  236  247  284  249  249  9.898452 0.272226 SUCCESS 129
111011010  242  254  260  229  275  269  239  246  9.255537 0.321200 SUCCESS 130
111011100  228  244  266  264  223  257  239  247  7.541803 0.479456 SUCCESS 131
111100000  241  256  228  248  236  235  244  255  2.937602 0.938212 SUCCESS 132
111100010  251  235  261  250  243  229  243  219  5.560101 0.696373 SUCCESS 133
111100100  253  252  228  268  263  221  243  231  8.623214 0.375071 SUCCESS 134
111100110  240  216  241  238  239  228  240  244  4.908713 0.767287 SUCCESS 135
111101000  265  256  248  224  227  276  254  248 10.246918 0.248122 SUCCESS 136
111101010  266  238  240  216  247  219  248  246  8.397611 0.395625 SUCCESS 137
111101100  264  223  230  239  214  283  235  256 15.718578 0.046590 SUCCESS 138
111101110  233  246  251  259  243  251  244  248  1.946221 0.982616 SUCCESS 139
111110000  220  237  231  277  258  249  265  272 14.044034 0.080625 SUCCESS 140
111110010  236  251  231  238  236  235  236  244  2.280918 0.971166 SUCCESS 141
111110100  240  243  250  222  225  265  267  272 11.202287 0.190499 SUCCESS 142
111110110  238  222  240  223  237  275  224  257 10.867590 0.209315 SUCCESS 143
111111000  247  258  260  264  249  248  265  271  8.662403 0.371570 SUCCESS 144
111111010  266  227  250  258  258  235  245  255  5.904330 0.657948 SUCCESS 145
111111100  206  255  218  245  233  259  258  283 18.234101 0.019538 SUCCESS 146
111111110  211  271  231  229  254  259  236  256 11.635487 0.168223 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  226  260  249  246  236  262  241  219  6.924309 0.544821 SUCCESS   0
000000011  240  248  249  240  244  249  246  221  2.689756 0.952295 SUCCESS   1
000000101  235  236  213  242  239  261  224  224  9.505500 0.301461 SUCCESS   2
000000111  243  235  246  264  230  286  265  241 12.208496 0.142141 SUCCESS   3
000001001  241  238  265  247  237  239  234  218  5.733804 0.677021 SUCCESS   4
000001011  252  253  235  253  238  250  216  244  4.939428 0.764030 SUCCESS   5
000001101  226  232  260  255  245  227  229  233  6.322701 0.611133 SUCCESS   6
000001111  242  249  228  255  240  251  254  240  2.480041 0.962655 SUCCESS   7
000010001  253  240  265  239  255  245  266  249  4.995564 0.758050 SUCCESS   8
000010011  241  246  244  260  236  244  233  246  1.943043 0.982708 SUCCESS   9
000010101  230  228  232  233  233  245  264  266  7.322556 0.502265 SUCCESS  10
000010111  229  243  222  250  259  250  216  265  9.475844 0.303756 SUCCESS  11
000011001  242  274  233  280  231  252  254  202 18.701194 0.016542 SUCCESS  12
000011011  225  239  263  251  242  226  223  238  6.831102 0.554960 SUCCESS  13
000011101  256  228  237  254  240  265  247  242  4.299691 0.829123 SUCCESS  14
000011111  238  250  234  276  273  235  268  223 13.234830 0.104021 SUCCESS  15
000100011  242  232  252  266  233  254  235  270  7.058823 0.530300 SUCCESS  16
000100101  241  253  255  242  251  253  236  239  1.820180 0.986037 SUCCESS  17
000100111  249  255  241  250  243  231  243  244  1.529968 0.992199 SUCCESS  18
000101001  260  267  221  253  252  269  253  248  9.165507 0.328527 SUCCESS  19
000101011  226  228  253  230  232  247  277  246  8.924017 0.348746 SUCCESS  20
000101101  213  244  248  222  259  228  239  233  8.916603 0.349380 SUCCESS  21
000101111  221  232  258  237  239  257  225  247  6.317406 0.611724 SUCCESS  22
000110011  253  263  220  281  204  237  232  220 20.194621 0.009624 FAILURE  23
000110101  270  262  245  231  261  228  230  230  8.921899 0.348927 SUCCESS  24
000110111  214  211  248  259  255  231  237  238 11.099548 0.196122 SUCCESS  25
000111001  247  254  241  259  249  240  253  251  2.133693 0.976636 SUCCESS  26
000111011  246  231  230  266  274  288  254  262 17.321099 0.026934 SUCCESS  27
000111101  249  226  266  243  258  259  252  262  6.894652 0.548041 SUCCESS  28
000111111  237  269  239  258  257  239  283  233 11.504150 0.174736 SUCCESS  29
001000011  233  257  256  261  259  255  247  227  5.746514 0.675602 SUCCESS  30
001000101  247  249  239  218  258  234  272  247  7.715507 0.461742 SUCCESS  31
001000111  236  242  251  264  236  240  245  273  6.060028 0.640508 SUCCESS  32
001001011  259  257  232  224  233  246  208  253 10.380373 0.239337 SUCCESS  33
001001101  248  233  234  224  266  220  228  228  9.434536 0.306974 SUCCESS  34
001001111  258  260  244  248  261  233  244  254  4.091035 0.848818 SUCCESS  35
001010011  264  263  248  273  239  282  240  230 13.885159 0.084808 SUCCESS  36
001010101  240  243  245  230  251  243  240  263  2.713058 0.951055 SUCCESS  37
001010111  233  230  243  241  243  251  275  247  5.695674 0.681278 SUCCESS  38
001011011  210  235  240  221  243  219  215  261 15.104261 0.057150 SUCCESS  39
001011101  266  255  248  254  236  248  243  247  3.388807 0.907646 SUCCESS  40
001011111  236  248  244  215  221  243  229  245  7.180627 0.517276 SUCCESS  41
001100101  255  289  232  237  231  258  272  234 15.142391 0.056435 SUCCESS  42
001100111  253  268  232  253  252  244  238  243  4.132343 0.844990 SUCCESS  43
001101011  255  235  232  233  257  195  219  243 15.607365 0.048357 SUCCESS  44
001101101  253  236  258  253  252  224  247  220  6.242205 0.620122 SUCCESS  45
001101111  232  227  253  250  260  242  226  238  4.982854 0.759407 SUCCESS  46
001110101  275  261  252  250  213  259  236  232 11.598416 0.170041 SUCCESS  47
001110111  237  258  226  271  262  260  239  237  8.230262 0.411307 SUCCESS  48
001111011  257  221  248  225  247  253  245  245  4.956375 0.762228 SUCCESS  49
001111101  225  244  286  238  238  249  227  247 10.674821 0.220814 SUCCESS  50
001111111  248  262  247  254  269  242  260  251  5.774053 0.672524 SUCCESS  51
010000011  239  238  224  246  248  265  244  237  4.125988 0.845581 SUCCESS  52
010000111  252  250  243  238  281  247  263  252  8.141292 0.419791 SUCCESS  53
010001011  242  250  275  219  261  239  245  249  8.300167 0.404712 SUCCESS  54
010001111  227  244  258  239  256  209  272  251 11.486144 0.175645 SUCCESS  55
010010011  257  259  247  246  271  235  233  257  6.329056 0.610425 SUCCESS  56
010010111  269  265  227  235  220  242  220  219 13.688153 0.090265 SUCCESS  57
010011011  244  247  205  249  236  262  267  238 10.630336 0.223537 SUCCESS  58
010011111  247  255  289  240  257  263  224  260 14.135122 0.078311 SUCCESS  59
010100011  233  228  254  227  239  234  280  253  9.613535 0.293205 SUCCESS  60
010100111  265  253  262  249  236  254  261  240  5.605645 0.691309 SUCCESS  61
010101011  238  240  239  234  244  228  231  246  2.623029 0.955747 SUCCESS  62
010101111  235  228  224  256  254  249  228  244  5.383220 0.715941 SUCCESS  63
010110011  236  250  239  218  256  234  224  214 10.021315 0.263533 SUCCESS  64
010110111  232  256  254  217  238  204  263  244 13.240126 0.103850 SUCCESS  65
010111011  256  248  220  239  214  236  254  279 12.928730 0.114325 SUCCESS  66
010111111  235  207  252  205  232  238  238  239 13.992135 0.081971 SUCCESS  67
011000111  255  232  237  237  265  238  223  236  5.729568 0.677495 SUCCESS  68
011001111  239  243  225  228  239  251  215  241  6.714593 0.567715 SUCCESS  69
011010111  245  224  228  237  248  225  231  254  5.792058 0.670511 SUCCESS  70
011011111  236  230  259  214  268  257  229  233 10.518065 0.230529 SUCCESS  71
011101111  273  245  240  265  224  257  258  227  9.930227 0.269957 SUCCESS  72
011111111  262  273  252  245  274  239  247  246  9.094543 0.334383 SUCCESS  73
100000000  226  260  249  246  236  262  241  219  6.924309 0.544821 SUCCESS  74
100010000  241  249  233  253  251  273  239  239  4.955316 0.762341 SUCCESS  75
100100000  237  250  253  266  238  243  253  233  3.744687 0.879393 SUCCESS  76
100101000  267  233  252  246  237  260  271  229  8.330883 0.401834 SUCCESS  77
100110000  238  254  246  265  245  225  240  266  6.085448 0.637661 SUCCESS  78
